Date,ASIANPAINT,TATASTEEL,INFY,BAJAJ-AUTO,TCS,KOTAKBANK,CIPLA,EICHERMOT,NTPC,M&M,HEROMOTOCO,COALINDIA,APOLLOHOSP,HCLTECH,ONGC,ADANIPORTS,BEL,DRREDDY,TECHM,NESTLEIND,ITC,ETERNAL,RELIANCE,HINDUNILVR,INDUSINDBK,JSWSTEEL,TRENT,BAJFINANCE,LT,HDFCBANK,SUNPHARMA,SBILIFE,MARUTI,TITAN,GRASIM,TATACONSUM,HINDALCO,HDFCLIFE,AXISBANK,JIOFIN,WIPRO,ICICIBANK,BHARTIARTL,ULTRACEMCO,SHRIRAMFIN,TATAMOTORS,POWERGRID,SBIN,BAJAJFINSV,ADANIENT
2020-12-15,2422.978271484375,54.69584655761719,1037.8773193359375,2860.99560546875,2578.82958984375,1943.0325927734375,754.3928833007812,2359.85888671875,87.83102416992188,684.9219360351562,2646.325927734375,94.99327850341797,2327.889404296875,743.0206909179688,76.19304656982422,461.81878662109375,36.28740692138672,975.1331787109375,830.8178100585938,840.7523193359375,175.9344940185547,,895.2320556640625,2158.929931640625,894.9662475585938,346.36846923828125,705.6901245117188,502.4640197753906,1185.3106689453125,1321.0848388671875,542.88525390625,847.0584716796875,7442.5087890625,1446.25537109375,890.9462890625,549.6153564453125,236.00759887695312,641.6294555664062,604.57568359375,,166.76116943359375,501.051513671875,483.70330810546875,5017.55322265625,200.6843719482422,176.2798614501953,83.70890045166016,249.7332305908203,927.608154296875,461.2942199707031
2020-12-16,2475.704345703125,55.388851165771484,1047.855224609375,2888.84814453125,2627.99609375,1944.4267578125,759.36328125,2354.99658203125,87.04273986816406,698.2779541015625,2650.704833984375,96.58646392822266,2361.9892578125,742.2240600585938,78.0514144897461,461.6246337890625,36.241371154785156,976.6060791015625,825.888916015625,846.925048828125,176.3052215576172,,896.2294921875,2181.169921875,890.18603515625,350.81756591796875,712.4044799804688,504.82794189453125,1206.2349853515625,1339.5057373046875,547.5860595703125,848.3446044921875,7472.31591796875,1481.4085693359375,893.681640625,561.448486328125,242.66656494140625,638.9209594726562,603.5797729492188,,169.4561767578125,495.6352844238281,495.2154846191406,4974.88720703125,197.12960815429688,179.8764190673828,85.18508911132812,248.5798797607422,923.6919555664062,462.0921936035156
2020-12-17,2468.610595703125,54.69154357910156,1042.0123291015625,2859.9462890625,2650.407958984375,1957.2728271484375,755.8888549804688,2351.659423828125,86.66932678222656,697.0377197265625,2646.5810546875,95.22561645507812,2376.61767578125,737.44384765625,76.98948669433594,454.05303955078125,36.91648864746094,983.1763916015625,833.55126953125,846.0885009765625,175.52255249023438,,900.3331298828125,2154.509521484375,903.7058715820312,346.6524963378906,697.4839477539062,518.5702514648438,1216.2691650390625,1369.036376953125,542.6002807617188,847.2068481445312,7374.2197265625,1478.947021484375,891.630126953125,555.3875732421875,237.26219177246094,644.6827392578125,602.8827514648438,,168.74696350097656,493.6524963378906,494.1602478027344,5032.0986328125,194.08917236328125,179.03884887695312,86.12071228027344,247.01123046875,927.32373046875,458.1520690917969
2020-12-18,2493.967041015625,54.342891693115234,1069.518798828125,2927.369140625,2671.699951171875,1941.239990234375,765.7814331054688,2365.3408203125,86.0885009765625,699.8519287109375,2665.83935546875,94.06391906738281,2360.062255859375,746.9202880859375,75.09319305419922,449.7333679199219,37.20801544189453,1013.3915405273438,836.8672485351562,848.7415771484375,176.7171630859375,,903.0310668945312,2171.3994140625,874.1553344726562,344.7592468261719,694.7484130859375,515.2156982421875,1218.8846435546875,1340.1229248046875,546.066650390625,847.9984741210938,7245.54931640625,1496.0804443359375,888.6505737304688,551.7799072265625,241.17068481445312,644.2394409179688,606.9657592773438,,171.89117431640625,500.1810607910156,489.8910827636719,5013.3203125,188.8167266845703,177.9057159423828,86.38801574707031,250.47145080566406,919.4913940429688,454.0124206542969
2020-12-21,2449.0537109375,51.29538345336914,1058.2825927734375,2831.788330078125,2633.552001953125,1912.8585205078125,751.352783203125,2284.730712890625,80.90245056152344,654.3939819335938,2545.781982421875,88.25546264648438,2308.3681640625,729.980224609375,68.15277099609375,431.2411804199219,34.354129791259766,982.3429565429688,812.7147827148438,840.8770141601562,167.20159912109375,,879.5205078125,2145.808837890625,813.798828125,334.6304016113281,681.7178344726562,494.5530700683594,1174.4683837890625,1303.376220703125,524.7462768554688,831.8723754882812,7069.5322265625,1449.111083984375,857.0962524414062,541.3898315429688,224.18548583984375,619.7149047851562,580.0779418945312,,167.3521728515625,478.27423095703125,470.9439697265625,4872.578125,177.61961364746094,162.14004516601562,82.64558410644531,235.0159149169922,882.6891479492188,428.1273193359375
2020-12-22,2493.2958984375,51.76886749267578,1097.1151123046875,2855.44287109375,2682.438720703125,1895.032958984375,767.27734375,2332.6865234375,82.06412506103516,663.075439453125,2592.546630859375,89.94822692871094,2380.423583984375,766.3345947265625,68.68373107910156,454.9266662597656,34.446189880371094,1000.4158325195312,846.591064453125,857.5604858398438,167.5723419189453,,878.160400390625,2150.508544921875,811.867431640625,342.6293640136719,688.5315551757812,491.5662536621094,1200.956298828125,1303.803466796875,539.7037963867188,844.8324584960938,7088.02978515625,1475.8450927734375,864.7650146484375,554.1369018554688,223.79946899414062,631.5833129882812,587.2977905273438,,172.1985321044922,483.8839416503906,479.96185302734375,4885.66455078125,172.31044006347656,162.53416442871094,84.78411102294922,237.5534210205078,891.8785400390625,457.6533508300781
2020-12-23,2533.320556640625,53.49492645263672,1126.3746337890625,2894.225830078125,2716.29052734375,1912.7589111328125,795.8934936523438,2332.6865234375,81.77371978759766,678.7685546875,2584.8515625,89.64949798583984,2405.577880859375,773.71435546875,68.87335968017578,456.9652099609375,35.42817306518555,1012.4901733398438,849.7277221679688,865.8408813476562,171.15609741210938,,881.4024047851562,2205.736572265625,826.0150146484375,347.2677307128906,677.092529296875,499.1681823730469,1202.953857421875,1306.2247314453125,545.6867065429688,845.8218383789062,7140.31298828125,1468.0169677734375,881.1771850585938,582.3248291015625,227.9492645263672,638.8224487304688,589.986572265625,,182.2930450439453,487.07568359375,486.58135986328125,4897.97314453125,176.66433715820312,166.721923828125,84.62816619873047,242.67446899414062,899.3017578125,462.44134521484375
2020-12-24,2538.784423828125,53.57240676879883,1111.093017578125,2951.155029296875,2716.85009765625,1952.443115234375,804.1452026367188,2323.200439453125,82.93537902832031,678.1962280273438,2612.953125,90.44609832763672,2385.06884765625,770.98876953125,70.6558837890625,464.5367736816406,35.259403228759766,1008.1683959960938,848.9210815429688,858.152099609375,171.85641479492188,,904.2100219726562,2235.42138671875,823.5524291992188,346.6997985839844,681.1209716796875,508.584716796875,1200.480712890625,1326.5921630859375,560.7393188476562,864.5696411132812,7136.57470703125,1472.98974609375,876.4391479492188,578.18798828125,228.67306518554688,647.342041015625,607.6627807617188,,180.7091522216797,496.69915771484375,496.2707824707031,4908.4814453125,183.08502197265625,173.37306213378906,84.65045928955078,246.2269287109375,897.2363891601562,472.4661865234375
2020-12-28,2572.961181640625,54.46341323852539,1114.9136962890625,2986.090087890625,2735.57373046875,1980.62548828125,801.20166015625,2337.1201171875,83.35025787353516,678.2439575195312,2621.030517578125,91.37543487548828,2361.099853515625,773.0433349609375,71.14891815185547,469.390380859375,35.16733169555664,1008.1683959960938,848.78662109375,859.5849609375,172.59786987304688,,908.35888671875,2222.99853515625,837.2171020507812,365.9635314941406,680.9717407226562,510.46807861328125,1226.350830078125,1341.5472412109375,557.4153442382812,892.023193359375,7171.9892578125,1519.909912109375,885.7198486328125,579.5830078125,231.52000427246094,668.4686279296875,615.0818481445312,,181.04010009765625,503.03424072265625,500.39599609375,5003.25048828125,186.6581268310547,183.62075805664062,85.34102630615234,253.9315948486328,897.4859008789062,489.62322998046875
2020-12-29,2585.328125,54.42467498779297,1123.90283203125,3000.825439453125,2736.6005859375,1990.9822998046875,799.078369140625,2345.8916015625,81.81519317626953,674.5233154296875,2613.71826171875,89.68268585205078,2348.942626953125,784.8681030273438,70.6558837890625,469.2447814941406,35.21335220336914,1001.1522827148438,865.4110717773438,844.1148071289062,174.2867889404297,,902.3509521484375,2218.718017578125,881.5912475585938,361.4197692871094,668.48828125,510.11492919921875,1222.023193359375,1355.1729736328125,560.881591796875,889.6983032226562,7142.61328125,1516.5128173828125,888.5040893554688,575.8790893554688,227.3702392578125,663.051513671875,627.57958984375,,182.0330352783203,511.44873046875,499.1008605957031,5007.7255859375,190.12106323242188,180.76321411132812,84.51677703857422,256.4229431152344,895.590087890625,487.97735595703125
